Allegro Report,,,,,
184-000309RevA.brd,,,,,
Mon Aug 25 10:25:07 2014,,,,,
,,,,,
REFDES,SYM_NAME,SYM_CENTER_X,SYM_CENTER_Y,SYM_ROTATE,SYM_MIRROR
,MTG_266_NPT,470,265,0,TOP
,MTG_266_NPT,3265,265,0,TOP
,MTG_266_NPT,1870,3265,0,TOP
,DATUM_REFERENCE,0,-232.7,0,TOP
,DATUM_REFERENCE,0,-282.7,0,TOP
,DATUM_DIMENSION,2867.5,5551.88,0,TOP
,DATUM_DIMENSION,867.5,5554.38,0,TOP
,DATUM_DIMENSION,796.12,3959.17,0,TOP
,DATUM_DIMENSION,3143,6367.38,0,TOP
,DATUM_DIMENSION,470,-155.2,0,TOP
,DATUM_DIMENSION,3265,-150.2,0,TOP
,DATUM_DIMENSION,1057.38,244.17,0,TOP
,DATUM_DIMENSION,303.62,3244.17,0,TOP
,DATUM_DIMENSION,1870,1462.3,0,TOP
,DATUM_DIMENSION,-94.38,319.17,0,TOP
,DATUM_DIMENSION,-672.88,6269.17,0,TOP
,DATUM_DIMENSION,561.5,6316.88,0,TOP
,DATUM_DIMENSION,917.12,5759.17,0,TOP
,DATUM_DIMENSION,-466.38,-20.83,0,TOP
,DATUM_DIMENSION,3697,-387.7,0,TOP
,DATUM_DIMENSION,2282,-282.7,0,TOP
,DATUM_DIMENSION,1377,-285.2,0,TOP
,FABNOTESROHSNEW,6370.1,2955.57,0,TOP
,MTG_079_NPT,590,5780,0,TOP
,MTG_079_NPT,3140,5780,0,TOP
,MTG_079_NPT,2867.5,3980,0,TOP
,MTG_079_NPT,867.5,3980,0,TOP
,LAYERASSIGNMENT4,2055,6990,0,TOP
,PART_ASSY_198,2426.7,145.6,0,TOP
BT1,PANASONIC_BR2032-1HE,561,4701,0,TOP
BZR1,SOBERTON_WST-1205S,2650,285,180,BOTTOM
C1,0603IPC,1550,3540,180,TOP
C2,0603IPC,1740,3520,180,TOP
C3,KEMET_T491B106K006AT,1905,2825,180,TOP
C4,PANASONIC_B,2435,3873.9,0,TOP
C5,PANASONIC_B,2670,3913.9,90,TOP
C6,PANASONIC_B,1835,4270,180,TOP
C7,0603IPC,3045,3035,180,TOP
C8,0603IPC,2575,5770,270,TOP
C9,NICHICON_UWX0J470MCL1GB,3106.6,2890,0,TOP
C10,0603IPC,2215,5765,270,TOP
C11,PANASONIC_B,1575,4225,180,TOP
C12,1206IPC,1340,4165,180,TOP
C13,1206IPC,1340,4075,180,TOP
C14,1206IPC,1340,3985,180,TOP
C15,1206IPC,1340,3895,180,TOP
C16,1206IPC,1340,3805,180,TOP
C17,0603IPC,2600,2235,90,TOP
C18,NICHICON_UWX0J470MCL1GB,2455,2288.4,270,TOP
C19,0603IPC,2100,2235,90,TOP
C20,NICHICON_UWX0J470MCL1GB,2235,2288.4,270,TOP
C21,0603IPC,2445,3405,90,TOP
C22,NICHICON_UWX0J470MCL1GB,2600,3388.4,270,TOP
C23,0603IPC,1860,5760,270,TOP
C24,0603IPC,1565,5520,180,TOP
C25,0603IPC,1645,5590,0,TOP
C26,0805IPC,1785,5905,90,TOP
C27,0603IPC,1215,5820,0,TOP
C28,0603IPC,1175,5105,0,TOP
C29,KEMET_T491B106K006AT,1905,2705,180,TOP
C30,0603IPC,1485,2670,90,TOP
C31,0603IPC,1585,2150,270,TOP
C32,0603IPC,1530,2460,90,TOP
C33,1206IPC,2060,1865,270,TOP
C34,0603IPC,1560,2305,0,TOP
C35,1206IPC,1365,2115,180,TOP
C36,1206IPC,1060,2500,180,TOP
C37,1206IPC,2515,1665,90,TOP
C38,1206IPC,1940,1425,90,TOP
C39,1206IPC,1060,2225,180,TOP
C40,0603IPC,1405,3130,180,TOP
C41,0603IPC,1305,3095,90,TOP
C42,0603IPC,1135,5620,90,TOP
C43,0603IPC,2810,2050,90,TOP
C44,0603IPC,3265,925,0,TOP
C45,0603IPC,3265,1105,0,TOP
C46,0603IPC,1515,530,90,TOP
